run_id,approach,question_id,question,category,difficulty,required_knowledge_type,expected_answer,actual_answer,similarity_score,classification,latency_ms,tokens_input,tokens_output,estimated_cost,error
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q001,Which team owns the lead-intake-service?,factual,easy,factual,"The lead-intake-service is owned by team-onboarding. This team is responsible for the initial customer acquisition flow, including lead capture, eligibility checks, and proposal creation.","The documentation does not state which team owns the `lead-intake-service`.

Supporting details: the provided docs describe the service purpose, tech stack, local setup, testing, and architecture, but include no ownership/team information.

Sources: Lead Intake Service documentation.",0.4605543710021321,correct,16025.217375005013,2457,87,0.01359,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q002,What database does the document-store-service use for storing document metadata?,factual,easy,factual,"The document-store-service uses MongoDB for storing document metadata. MongoDB was chosen because documents have variable schemas depending on document type (e.g., income proofs vs. vehicle registration), making a document-oriented database a natural fit. The actual file contents are stored in S3.","The document-store-service stores document metadata in **MongoDB**, specifically the `document_store` database.

Supporting details: The documentation states that metadata is kept in the **Metadata Layer (MongoDB)** and includes document ID, proposal ID, customer ID, document type, classification result, OCR reference, validation status, version history, and audit log.

Sources: Document Store Service (svc-09) — Database / Metadata Layer",0.5318860244233379,partial,2755.3973329922883,2391,88,0.013275,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q003,What is the purpose of the eligibility-service in the onboarding flow?,factual,easy,factual,"The eligibility-service evaluates whether a prospective customer meets the minimum requirements for a loan product before a full proposal is created. It checks basic criteria such as age, geography, minimum income thresholds, and product availability. This early filtering avoids unnecessary downstream processing for clearly ineligible leads.","The `eligibility-service` is the first quality gate in the CredityFlow onboarding pipeline. Its purpose is to check whether a new lead meets basic eligibility requirements before downstream services spend resources on document collection, credit analysis, and other heavier processing.

Supporting details:
- It is triggered when a new lead arrives via the `lead_created` event from `lead-intake-service`.
- It evaluates rules such as minimum age, geographic coverage, minimum declared income, and product-specific criteria.
- If eligible, the flow can continue, including producing a `lead_qualified` event.

Sources:
- Eligibility Service — Overview
- Eligibility Service — Tests",0.5107632093933464,correct,2969.2484170082025,1961,132,0.011785,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q004,Which external partner does CredityFlow integrate with for vehicle registry operations?,factual,easy,factual,CredityFlow integrates with DETRAN-API for vehicle registry operations. The detran-integration-service handles communication with this external partner to register liens on vehicles used as collateral for AutoCredit and AutoRefi products.,"CredityFlow integrates with **DETRAN** for vehicle registry/lien registration operations.

Supporting details: the Registry domain covers “Lien registration with government agencies (DETRAN/cartório).”

Sources: CredityFlow — Company Overview, Business Domains / Registry.",0.5275590551181102,partial,4025.7623749930644,2467,154,0.014645,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q005,What API gateway does CredityFlow use to manage external-facing traffic?,factual,easy,factual,"CredityFlow uses Kong API Gateway to manage external-facing traffic. Kong handles routing, rate limiting, authentication, and request transformation at the edge. Internally, Istio service mesh manages service-to-service communication within the EKS cluster.","The documentation provided does not specify what API gateway CredityFlow uses for external-facing traffic.

Supporting details:
- The context only describes the Customer Portal BFF (`svc-45`) sitting between the React SPA and backend services.
- It mentions HTTPS traffic from the browser to the BFF, Redis session cache, and downstream services, but no API gateway product or component is named.

Sources: Customer Portal BFF documentation (`svc-45`)",0.46458923512747874,partial,4970.048250004766,2387,124,0.013795,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q006,What caching layer does CredityFlow use and which services typically rely on it?,factual,easy,factual,"CredityFlow uses Redis as its caching layer. Services that rely on Redis include the eligibility-service (for caching product rules), credit-policy-service (for caching policy configurations), feature-flag-service (for caching flag states from LaunchDarkly), and the customer-portal-bff (for session and user preference caching).","CredityFlow uses **Redis** as the caching layer, with a **24-hour TTL** in the documented Credit Bureau Integration service (`svc-18`).

The documentation only states that **svc-18 Credit Bureau Integration** relies on Redis to cache bureau queries by CPF. It does not provide enough information to identify other services that typically rely on Redis.

Supporting details:
- Redis is listed as the database/cache for `svc-18`.
- Same-CPF bureau queries within 24 hours return the cached result.
- Cache hits return in `<5ms`, compared with `2–3 seconds` for live ServicosBureau calls.

Sources: Credit Bureau Integration (`svc-18`) documentation.",0.406988694758479,partial,13638.02399999986,2354,223,0.015115,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q007,Where does CredityFlow store audit logs and why was that technology chosen?,factual,medium,factual,"CredityFlow stores audit logs in Elasticsearch. This technology was chosen because audit logs require full-text search capabilities, flexible querying across multiple fields, and efficient time-series storage. Elasticsearch enables compliance teams and the audit-service to quickly search and aggregate log entries across all domains for regulatory reporting and incident investigation.","CredityFlow stores audit logs in **Elasticsearch**, in monthly indices named **`audit-YYYY-MM`**. The documentation indicates Elasticsearch is used because the Audit Service must handle **high-volume, write-heavy ingestion** while still supporting **efficient querying**, including time range, actor, resource type, action, and free-text search.

Supporting details:
- Events flow through SNS and SQS, then `AuditEventConsumer` writes to Elasticsearch.
- Writes are batched in groups of 100 using Elasticsearch’s **bulk API**, which is described as critical for throughput at about **50k events/hour**.
- Each index is configured as **1 primary + 1 replica**.
- The docs do not explicitly say “Elasticsearch was chosen because…”, but the stated requirements and implementation emphasize scalable bulk writes and queryability.

Sources: Audit Service (svc-48), “Design Principles” and “Event Ingestion Pipeline”.",0.43706563706563706,partial,5530.700750008691,2123,301,0.01513,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q008,Which services are involved when a new lead submits an AutoCredit application?,relational,medium,relational,"When a new lead submits an AutoCredit application, the following services are involved in sequence: lead-intake-service captures the initial application data, eligibility-service checks basic qualification criteria, customer-service creates or retrieves the customer profile, and proposal-service creates the loan proposal. The lead-intake-service publishes a lead_created event that triggers downstream processing by other domains.","The documentation does not mention “AutoCredit” specifically, so I can’t identify an AutoCredit-specific flow.

For a new lead submission in general, the documented services involved are:

- **Lead Intake Service** — receives the lead, validates it, de-duplicates where possible, persists it, and emits a `lead_created` event.
- **Eligibility Service** — downstream service that primarily consumes/acts on the `lead_created` event.
- **auth-service** — involved for partner API authentication; in local testing it can be mocked.

Supporting details:
- Leads from the website, mobile app, or partner integrations enter through the **Lead Intake Service**.
- After persistence, a `lead_created` event is published via a transactional outbox to Kafka.
- Downstream services, primarily the **Eligibility Service**, then continue processing.

Sources: Lead Intake Service — Overview, Getting Started, Architecture.",0.4233358264771877,correct,6211.974707999616,2462,269,0.016345,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q009,What is the relationship between the fraud-scoring-service and fraud-decision-service?,relational,easy,relational,"The fraud-scoring-service computes a numerical fraud risk score based on multiple signals including device fingerprinting, watchlist checks, and bureau data from ClearCheck. The fraud-decision-service consumes this score along with configurable policy rules to make a binary accept/reject/review decision. The separation follows the single-responsibility principle: scoring is a computation concern while decision-making applies business rules that can change independently.","The **fraud-scoring-service** calculates a fraud risk score, while the **fraud-decision-service** turns that score into an action such as approve, deny, or manual review.

Supporting details:
- The fraud-scoring-service aggregates signals from device fingerprinting, watchlist screening, ClearCheck, and biometric verification.
- It runs an ML model and outputs a score from **0 to 1000**.
- That score is **not itself a decision**.
- The fraud-decision-service applies business rules and thresholds to the score to produce the final outcome.

Sources: Fraud Scoring Service — Overview.",0.5595463137996219,correct,3366.4022500015562,2169,156,0.013185,
unstructured__gpt-5-5__r3__20260623T192139-5103bf,unstructured,Q010,Which services publish events that the notification-service subscribes to?,relational,hard,relational,"The notification-service subscribes to events from many services across the lending pipeline, including: proposal-service (proposal_created, proposal_approved), fraud-decision-service (fraud_cleared, fraud_rejected), credit-decision-service (credit_approved, credit_denied), contract-generation-service (contract_ready), digital-signature-service (contract_signed), disbursement-service (disbursement_completed), and dunning-service (payment_overdue). This allows the notification-service to send timely updates to customers at every major stage.","The documentation only says that **domain services** publish events to their own Kafka topics; it does **not specify which specific services** those are.

Supporting details:
- The notification-service subscribes to relevant Kafka topics.
- Domain services publish events without awareness of notifications.
- Notification behavior is determined by event-to-template mapping configuration.

Sources: Provided documentation, “Decision: Use Kafka as the sole inbound trigger mechanism.”",0.44163424124513617,partial,3076.933000003919,725,145,0.0058,
