run_id,approach,question_id,question,category,difficulty,required_knowledge_type,expected_answer,actual_answer,similarity_score,classification,latency_ms,tokens_input,tokens_output,estimated_cost,error
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q001,Which team owns the lead-intake-service?,factual,easy,factual,"The lead-intake-service is owned by team-onboarding. This team is responsible for the initial customer acquisition flow, including lead capture, eligibility checks, and proposal creation.","The provided documentation does not contain any information about team ownership of the Lead Intake Service. The docs cover its architecture, tech stack, setup instructions, and history, but do not mention a responsible team or owner.

You would need to check another source for this — for example, a service catalogue, a `CODEOWNERS` file in the repository, or an internal team directory.",0.43826086956521737,correct,3092.2702500101877,3,82,0.001239,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q002,What database does the document-store-service use for storing document metadata?,factual,easy,factual,"The document-store-service uses MongoDB for storing document metadata. MongoDB was chosen because documents have variable schemas depending on document type (e.g., income proofs vs. vehicle registration), making a document-oriented database a natural fit. The actual file contents are stored in S3.","The Document Store Service uses **MongoDB** (database name: `document_store`) for storing document metadata.

Each document record in MongoDB includes the following fields:
- Document ID
- Proposal ID
- Customer ID
- Document type
- Classification result
- OCR result reference
- Validation status
- Version history
- Access audit log

The flexible schema of MongoDB is specifically leveraged to accommodate type-specific metadata fields without requiring migrations.

> **Source:** Document Store Service (svc-09) — Component Overview, Metadata Layer section.",0.4865497076023392,partial,3896.21270900534,3,121,0.001824,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q003,What is the purpose of the eligibility-service in the onboarding flow?,factual,easy,factual,"The eligibility-service evaluates whether a prospective customer meets the minimum requirements for a loan product before a full proposal is created. It checks basic criteria such as age, geography, minimum income thresholds, and product availability. This early filtering avoids unnecessary downstream processing for clearly ineligible leads.","## Purpose of the Eligibility Service

The Eligibility Service acts as the **first quality gate** in the CredityFlow onboarding pipeline. Its core purpose is to determine whether an applicant meets basic eligibility requirements **before** the platform invests resources in heavier downstream processing.

### When it triggers
It activates upon receiving a `lead_created` event from the **lead-intake-service**.

### What it checks
- **Minimum age:** 18 years old
- **Geographic coverage:** All Brazilian states where CredityFlow operates (some states are excluded)
- **Minimum declared income**
- **Product-specific criteria**

### Why it exists
By filtering out ineligible applicants early, the service prevents unnecessary work in downstream steps such as:
- Document collection
- Credit analysis
- Other resource-intensive processing

### Key design trait
The rules are **configurable without a deploy** — they are stored in the database (`eligibility_db`) and can be toggled on/off or adjusted by the operations team at any time, making the system extensible as business rules evolve.

---
*Source: Eligibility Service — Overview section*",0.36351351351351346,incorrect,5629.978958007996,3,260,0.003909,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q004,Which external partner does CredityFlow integrate with for vehicle registry operations?,factual,easy,factual,CredityFlow integrates with DETRAN-API for vehicle registry operations. The detran-integration-service handles communication with this external partner to register liens on vehicles used as collateral for AutoCredit and AutoRefi products.,"The documentation does not contain enough information to answer this question.

The Company Overview mentions that CredityFlow integrates with ""government registries"" and that the Registry domain handles ""lien registration with government agencies (DETRAN/cartório),"" but **no specific external partner or vendor name** for vehicle registry operations is cited in the provided documentation.

**Source:** CredityFlow — Company Overview (Registry domain, Architecture Overview section)",0.5027777777777778,partial,3566.9232909858692,3,95,0.001434,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q005,What API gateway does CredityFlow use to manage external-facing traffic?,factual,easy,factual,"CredityFlow uses Kong API Gateway to manage external-facing traffic. Kong handles routing, rate limiting, authentication, and request transformation at the edge. Internally, Istio service mesh manages service-to-service communication within the EKS cluster.","The provided documentation does not contain information about CredityFlow's API gateway for managing external-facing traffic. The documentation covers only the **Customer Portal BFF (svc-45)**, which describes the internal architecture between the React SPA, the BFF layer, Redis, and four downstream microservices — but makes no mention of an API gateway.

To find this information, you would need to consult other CredityFlow documentation, such as infrastructure, networking, or platform-level architecture docs.",0.4202334630350194,partial,3615.1223329943605,3,108,0.001629,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q006,What caching layer does CredityFlow use and which services typically rely on it?,factual,easy,factual,"CredityFlow uses Redis as its caching layer. Services that rely on Redis include the eligibility-service (for caching product rules), credit-policy-service (for caching policy configurations), feature-flag-service (for caching flag states from LaunchDarkly), and the customer-portal-bff (for session and user preference caching).","## Caching Layer in CredityFlow (svc-18)

**CredityFlow uses Redis as its caching layer** within the Credit Bureau Integration service (svc-18).

### Cache Configuration Details
- **TTL:** 24 hours per cached entry
- **Cache key:** CPF (Brazilian individual/business tax identifier)
- **Hit latency:** <5ms vs. 2–3 seconds for a live bureau call

### Purpose
The Redis cache serves two specific goals:
1. **Cost reduction** — ServicosBureau charges per query, and repeated lookups for the same CPF within 24 hours are served from cache instead of triggering a billable API call
2. **Latency improvement** — Cache hits are dramatically faster than live SOAP calls to ServicosBureau

The 24-hour TTL was explicitly negotiated with the credit risk team as an acceptable data staleness window.

### Scope Limitation
The documentation provided **only covers svc-18 (Credit Bureau Integration)**. It does not describe whether other CredityFlow services also rely on Redis or a shared caching infrastructure. Based solely on the available context, Redis usage is documented exclusively for this service.

---
**Source:** Credit Bureau Integration (svc-18) — Architecture > Redis Cache section",0.3289124668435013,incorrect,6662.362957998994,3,294,0.004419,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q007,Where does CredityFlow store audit logs and why was that technology chosen?,factual,medium,factual,"CredityFlow stores audit logs in Elasticsearch. This technology was chosen because audit logs require full-text search capabilities, flexible querying across multiple fields, and efficient time-series storage. Elasticsearch enables compliance teams and the audit-service to quickly search and aggregate log entries across all domains for regulatory reporting and incident investigation.","## Audit Log Storage: Elasticsearch

CredityFlow stores audit logs in **Elasticsearch**, using a **time-partitioned index pattern** (`audit-YYYY-MM`) with **1 primary shard + 1 replica** per index.

### Why Elasticsearch?

The documentation doesn't provide an explicit ""why we chose Elasticsearch"" rationale, but the architectural decisions clearly reflect its suitability for the workload:

- **Write-heavy throughput** — The service handles ~50,000 events/hour in production. Elasticsearch's bulk API is leveraged (batch size of 100) precisely because individual writes would not scale to this volume.
- **Queryability at scale** — Despite the high write load, the service supports efficient queries filtered by time range, actor, resource type, action, and free-text search — all capabilities Elasticsearch is well-suited for.
- **Time-based indexing** — The `audit-YYYY-MM` index pattern is a standard Elasticsearch pattern for managing high-volume time-series data, enabling efficient querying and index lifecycle management.

### What gets written there

Each record stored includes a **hash chain** (computed by the `HashChainCalculator`) linking it to the previous record for the same resource, making the log tamper-evident.

> ⚠️ **Note:** The documentation does not explicitly state the selection criteria over alternative databases. The reasoning above is inferred from the architectural design, not a stated decision log.

**Source:** Audit Service (svc-48) documentation — Components: Event Ingestion Pipeline & Design Principles.",0.33090530697190423,incorrect,8769.319582992466,3,356,0.005349,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q008,Which services are involved when a new lead submits an AutoCredit application?,relational,medium,relational,"When a new lead submits an AutoCredit application, the following services are involved in sequence: lead-intake-service captures the initial application data, eligibility-service checks basic qualification criteria, customer-service creates or retrieves the customer profile, and proposal-service creates the loan proposal. The lead-intake-service publishes a lead_created event that triggers downstream processing by other domains.","Based on the available documentation, I can give a **partial answer** — the documentation only covers the Lead Intake Service in detail.

## What the documentation confirms:

When a new lead is submitted, the following services are involved:

1. **Lead Intake Service** — The entry point. It:
   - Captures and validates the lead's contact details
   - De-duplicates where possible
   - Persists the lead to the `lead_intake_db` (PostgreSQL)
   - Publishes a `lead_created` event to **Kafka** via a transactional outbox

2. **Eligibility Service** — Explicitly mentioned as the **primary downstream consumer** of the `lead_created` event, meaning it picks up processing after the Lead Intake Service fires the event.

3. **Auth Service** — Involved in authenticating requests (particularly for partner integrations) before a lead is accepted.

## What I cannot confirm:

The documentation does **not** mention an ""AutoCredit"" application specifically, nor does it detail what happens beyond the Eligibility Service. There may be additional services in the pipeline (e.g., underwriting, decisioning, notification services) that are not covered in the provided context.

For a complete picture of the full application flow, you would need to consult the documentation for the **Eligibility Service** and any downstream services.

**Source:** Lead Intake Service documentation (Architecture & Overview sections)",0.3672347443650358,correct,7144.321999992826,3,320,0.004809,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q009,What is the relationship between the fraud-scoring-service and fraud-decision-service?,relational,easy,relational,"The fraud-scoring-service computes a numerical fraud risk score based on multiple signals including device fingerprinting, watchlist checks, and bureau data from ClearCheck. The fraud-decision-service consumes this score along with configurable policy rules to make a binary accept/reject/review decision. The separation follows the single-responsibility principle: scoring is a computation concern while decision-making applies business rules that can change independently.","## Relationship Between fraud-scoring-service and fraud-decision-service

The two services have a deliberate **separation of concerns**:

- **fraud-scoring-service** answers *""how risky is this?""* — it collects signals, runs the ML model, and produces a **numeric fraud risk score (0–1000)**.
- **fraud-decision-service** answers *""what do we do about it?""* — it consumes that score and applies **business rules and thresholds** to produce an actionable outcome: **approve, deny, or route to manual review**.

In other words, the fraud-scoring-service feeds its score *into* the fraud-decision-service, but the scoring service itself **does not make decisions**. The score is an input, not an outcome.

This separation is described as **intentional** in the documentation, keeping the ML model logic cleanly decoupled from business rule logic.

---

**Source:** Fraud Scoring Service — Overview section",0.4598540145985402,correct,9344.816040989826,3,220,0.003309,
unstructured__claude-sonnet-4-6__r3__20260623T180415-349199,unstructured,Q010,Which services publish events that the notification-service subscribes to?,relational,hard,relational,"The notification-service subscribes to events from many services across the lending pipeline, including: proposal-service (proposal_created, proposal_approved), fraud-decision-service (fraud_cleared, fraud_rejected), credit-decision-service (credit_approved, credit_denied), contract-generation-service (contract_ready), digital-signature-service (contract_signed), disbursement-service (disbursement_completed), and dunning-service (payment_overdue). This allows the notification-service to send timely updates to customers at every major stage.","## Answer

The documentation does not specify which particular domain services publish events that the notification-service subscribes to.

The documentation only states, in general terms, that:
- **Domain services** publish events to **their own Kafka topics**
- The **notification-service** subscribes to **relevant topics** and decides which notifications to send based on an **event-to-template mapping configuration**

The key architectural point is that domain services operate **without awareness of notifications** — they simply publish to their own topics, and the notification-service independently determines which topics to subscribe to.

## What's Missing

The specific list of domain services (e.g., loan-service, payment-service, etc.) and their corresponding Kafka topics is **not covered in the provided documentation**. To get a precise answer, you would need to consult:
- The event-to-template mapping configuration
- Individual domain service documentation or event catalogs

---
**Source:** CredityFlow notification-service architecture decision record (repeated across provided context sections)",0.3920386007237637,partial,14001.22720899526,818,224,0.005814,
