run_id,approach,question_id,question,category,difficulty,required_knowledge_type,expected_answer,actual_answer,similarity_score,classification,latency_ms,tokens_input,tokens_output,estimated_cost,error
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q001,Which team owns the lead-intake-service?,factual,easy,factual,"The lead-intake-service is owned by team-onboarding. This team is responsible for the initial customer acquisition flow, including lead capture, eligibility checks, and proposal creation.","**Direct answer:**  
team-onboarding owns the lead-intake-service.

**Supporting details from the graph data:**  
- In the [Service] lead-intake-service definition, the field ""Owner team: team-onboarding"" is explicitly stated.  
- Under Relationships (incoming): team-onboarding → OWNS.  

This is the only ownership relationship recorded for lead-intake-service.",0.4629629629629629,correct,3874.6805409900844,1826,78,0.004432,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q002,What database does the document-store-service use for storing document metadata?,factual,easy,factual,"The document-store-service uses MongoDB for storing document metadata. MongoDB was chosen because documents have variable schemas depending on document type (e.g., income proofs vs. vehicle registration), making a document-oriented database a natural fit. The actual file contents are stored in S3.","**Direct answer:**  
document_meta_db

**Supporting details from the graph data:**  
The document-store-service lists its primary database as `document_store_db` (type: MongoDB+S3) in the service definition, but its outgoing relationships explicitly declare `USES_DATABASE → document_meta_db` (alongside `USES_DATABASE → document_files`).  

The separate [Database] document_meta_db entry confirms an incoming relationship from document-store-service (`document-store-service → USES_DATABASE`).  

This aligns with the service's purpose of managing ""documents and their metadata"" (Primary entities: StoredDocument, DocumentVersion, RetentionPolicy), where `document_meta_db` is the metadata store (distinct from file storage).  

**Service names and relationships cited explicitly:**  
- document-store-service → USES_DATABASE → document_meta_db  
- document_meta_db (incoming): document-store-service → USES_DATABASE",0.38596491228070173,incorrect,8236.98279200471,1641,178,0.005062,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q003,What is the purpose of the eligibility-service in the onboarding flow?,factual,easy,factual,"The eligibility-service evaluates whether a prospective customer meets the minimum requirements for a loan product before a full proposal is created. It checks basic criteria such as age, geography, minimum income thresholds, and product availability. This early filtering avoids unnecessary downstream processing for clearly ineligible leads.","**Direct answer:**  
The eligibility-service runs lightweight eligibility rules against lead data (age, geography, minimum income) to pre-qualify applicants before a full credit analysis, reducing unnecessary downstream processing.

**Supporting details from the graph data:**  
- Service: eligibility-service  
- Domain: Onboarding  
- Subdomain: Pre-qualification  
- Purpose (exact): ""Runs lightweight eligibility rules against lead data (age, geography, minimum income) to pre-qualify applicants before a full credit analysis. Reduces unnecessary downstream processing.""  
- Key relationships:  
  - BELONGS_TO_DOMAIN → Onboarding  
  - CONSUMES → lead_created  
  - PUBLISHES → lead_qualified  
  - DEPENDS_ON → lead-intake-service, feature-flag-service  
  - Used by: customer-portal-bff, proposal-service  
  - Owner: team-onboarding (via OWNS relationship)",0.4324786324786325,correct,4235.81316700438,1427,184,0.004694,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q004,Which external partner does CredityFlow integrate with for vehicle registry operations?,factual,easy,factual,CredityFlow integrates with DETRAN-API for vehicle registry operations. The detran-integration-service handles communication with this external partner to register liens on vehicles used as collateral for AutoCredit and AutoRefi products.,"**Direct answer:**  
CredityFlow integrates with **DETRAN-API** for vehicle registry operations.

**Supporting details from the graph data:**  
- The `detran-integration-service` (Domain: Registry, Subdomain: Vehicle Lien Registration) is the service responsible for vehicle lien registration and release.  
- It explicitly declares the relationship `detran-integration-service → INTEGRATES_WITH → DETRAN-API`.  
- Purpose description: ""Integrates with state DETRAN (Department of Transit) systems to register and release vehicle liens.""  
- It is used by `registry-orchestrator-service` and `registry-tracker-service`, consumes `registry_requested`, and publishes `detran_lien_registered`.  

No other external integrations for vehicle registry operations are listed in the provided graph.",0.3865877712031558,incorrect,5507.6027090108255,823,155,0.003196,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q005,What API gateway does CredityFlow use to manage external-facing traffic?,factual,easy,factual,"CredityFlow uses Kong API Gateway to manage external-facing traffic. Kong handles routing, rate limiting, authentication, and request transformation at the edge. Internally, Istio service mesh manages service-to-service communication within the EKS cluster.","**The provided service graph does not contain any information about an API gateway or external-facing traffic management.**

The graph only lists the following services and domains:
- **Onboarding**: customer-service, proposal-service
- **Document Management**: document-upload-service, document-store-service
- **Biometrics**: biometrics-capture-service
- **Fraud Prevention**: fraud-bureau-integration
- **Credit Analysis**: credit-bureau-integration

No service, domain, or relationship related to API gateways, ingress, or external traffic routing is present in the data.",0.4192771084337349,partial,6060.006207990227,421,110,0.001942,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q006,What caching layer does CredityFlow use and which services typically rely on it?,factual,easy,factual,"CredityFlow uses Redis as its caching layer. Services that rely on Redis include the eligibility-service (for caching product rules), credit-policy-service (for caching policy configurations), feature-flag-service (for caching flag states from LaunchDarkly), and the customer-portal-bff (for session and user preference caching).","**Direct answer:**  
The provided service graph does not describe a platform-wide caching layer for CredityFlow. It only shows that auth-service uses `auth_session_cache` (associated with Redis).

**Supporting details from the graph data:**  
- Database type: PostgreSQL+Redis  
- Relationships (outgoing): USES_DATABASE → auth_session_cache  

**Service names and relationships cited explicitly:**  
- auth-service is the only service with caching details in the graph.  
- Services listed as using auth-service (but not explicitly the cache): backoffice-bff, biometrics-capture-service, customer-portal-bff, customer-service, document-store-service, document-upload-service, lead-intake-service.  
- Incoming relationships: customer-portal-bff → DEPENDS_ON, backoffice-bff → DEPENDS_ON.  

The graph data is limited to auth-service and does not contain enough information to identify a general CredityFlow caching layer or which services rely on it.",0.38858049167327513,incorrect,13719.003083009738,584,195,0.003118,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q007,Where does CredityFlow store audit logs and why was that technology chosen?,factual,medium,factual,"CredityFlow stores audit logs in Elasticsearch. This technology was chosen because audit logs require full-text search capabilities, flexible querying across multiple fields, and efficient time-series storage. Elasticsearch enables compliance teams and the audit-service to quickly search and aggregate log entries across all domains for regulatory reporting and incident investigation.","**Direct answer:**  
CredityFlow stores audit logs in the `audit_log_store` database, which is used by the `audit-service`.

**Supporting details from the graph data:**  
- The service graph explicitly lists `[Database] audit_log_store`.  
- The only relationship shown is `audit-service → USES_DATABASE` pointing to `audit_log_store`.

**No information available on technology choice:**  
The retrieved graph data contains no details about why `audit_log_store` was selected or what specific database technology it uses.",0.45707915273132665,partial,4189.964250006597,264,106,0.001588,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q008,Which services are involved when a new lead submits an AutoCredit application?,relational,medium,relational,"When a new lead submits an AutoCredit application, the following services are involved in sequence: lead-intake-service captures the initial application data, eligibility-service checks basic qualification criteria, customer-service creates or retrieves the customer profile, and proposal-service creates the loan proposal. The lead-intake-service publishes a lead_created event that triggers downstream processing by other domains.","**Direct answer:** The retrieved graph data does not contain enough information to determine the services involved when a new lead submits an AutoCredit application.

**Supporting details:** The graph only provides details for the auth-service and its relationship to the product. No process flows, submission endpoints, or additional service dependencies for lead intake or AutoCredit applications are described.

**Service names and relationships cited explicitly:**
- auth-service SUPPORTS_PRODUCT → AutoCredit
- auth-service is listed as ""Used by"" lead-intake-service (among others)
- No other services or relationships related to lead submission are present in the data.",0.5176470588235293,partial,7883.003249997273,589,121,0.002388,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q009,What is the relationship between the fraud-scoring-service and fraud-decision-service?,relational,easy,relational,"The fraud-scoring-service computes a numerical fraud risk score based on multiple signals including device fingerprinting, watchlist checks, and bureau data from ClearCheck. The fraud-decision-service consumes this score along with configurable policy rules to make a binary accept/reject/review decision. The separation follows the single-responsibility principle: scoring is a computation concern while decision-making applies business rules that can change independently.","**Direct answer:**  
The `fraud-decision-service` depends on the `fraud-scoring-service`.

**Supporting details from the graph data:**  
- `fraud-decision-service` lists `fraud-scoring-service` under its `Depends on` section.  
- `fraud-scoring-service` lists `fraud-decision-service` under its `Used by` section.  
- This is reflected in the explicit relationships: `fraud-decision-service → DEPENDS_ON` (incoming to `fraud-scoring-service`) and `DEPENDS_ON → fraud-scoring-service` (outgoing from `fraud-decision-service`).  

**Event-based connection:**  
- `fraud-scoring-service` publishes the `fraud_scored` event.  
- `fraud-decision-service` consumes the `fraud_scored` event.  

Both services belong to the Fraud Prevention domain and are owned by `team-fraud`.",0.42938775510204086,correct,4195.7117919955635,1842,196,0.005644,
structured__grok-build-0-1__r3__20260624T014025-0815b2,structured,Q010,Which services publish events that the notification-service subscribes to?,relational,hard,relational,"The notification-service subscribes to events from many services across the lending pipeline, including: proposal-service (proposal_created, proposal_approved), fraud-decision-service (fraud_cleared, fraud_rejected), credit-decision-service (credit_approved, credit_denied), contract-generation-service (contract_ready), digital-signature-service (contract_signed), disbursement-service (disbursement_completed), and dunning-service (payment_overdue). This allows the notification-service to send timely updates to customers at every major stage.","**notification-template-service and negotiation-engine-service**

**Supporting details from the graph data:**
- notification-service consumes `notification_requested`, which is published by notification-template-service.
- notification-service consumes `negotiation_accepted` and `negotiation_offered`, which are published by negotiation-engine-service.

**Service names and relationships cited explicitly:**
- notification-template-service → PUBLISHES → notification_requested
- notification-service → CONSUMES → notification_requested
- negotiation-engine-service → PUBLISHES → negotiation_accepted
- negotiation-engine-service → PUBLISHES → negotiation_offered
- notification-service → CONSUMES → negotiation_accepted
- notification-service → CONSUMES → negotiation_offered

The graph data does not specify the publishing services for any other events in notification-service's consume list (e.g., credit_approved, contract_signed, lead_created).",0.42359249329758714,correct,23140.321250000852,1828,174,0.005396,
