run_id,approach,question_id,question,category,difficulty,required_knowledge_type,expected_answer,actual_answer,similarity_score,classification,latency_ms,tokens_input,tokens_output,estimated_cost,error
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q001,Which team owns the lead-intake-service?,factual,easy,factual,"The lead-intake-service is owned by team-onboarding. This team is responsible for the initial customer acquisition flow, including lead capture, eligibility checks, and proposal creation.","**The provided documentation does not specify which team owns the lead-intake-service.**

The context describes the service's purpose, tech stack (Kotlin / Spring Boot, PostgreSQL `lead_intake_db`), local setup, testing, and hexagonal architecture (API, domain, and infrastructure layers), but includes no details on team ownership or responsibility.

**Sources:**  
- All sections titled ""# Lead Intake Service"" (Overview, Getting Started, Architecture) in the supplied documentation.",0.4041916167664671,correct,3948.3212920022197,2519,94,0.005978,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q002,What database does the document-store-service use for storing document metadata?,factual,easy,factual,"The document-store-service uses MongoDB for storing document metadata. MongoDB was chosen because documents have variable schemas depending on document type (e.g., income proofs vs. vehicle registration), making a document-oriented database a natural fit. The actual file contents are stored in S3.","**Direct answer:**  
MongoDB (database name: `document_store`).

**Supporting details:**  
The Document Store Service maintains a clear separation between metadata and binary content. Metadata (including document ID, proposal ID, customer ID, document type, classification result, OCR result reference, validation status, version history, and access audit log) is stored in MongoDB. Binary files are stored separately in AWS S3.

**Sources:**  
Document Store Service (svc-09) documentation (Component Overview section).",0.48641975308641977,partial,3355.298042006325,2478,102,0.005976,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q003,What is the purpose of the eligibility-service in the onboarding flow?,factual,easy,factual,"The eligibility-service evaluates whether a prospective customer meets the minimum requirements for a loan product before a full proposal is created. It checks basic criteria such as age, geography, minimum income thresholds, and product availability. This early filtering avoids unnecessary downstream processing for clearly ineligible leads.","**Direct answer:**  
The eligibility-service acts as the first quality gate in the CredityFlow onboarding pipeline. It evaluates whether a new lead meets basic eligibility requirements before the system invests resources in document collection, credit analysis, or downstream processing.

**Supporting details:**  
- It is triggered by the `lead_created` event from the lead-intake-service.  
- Current rules include: minimum age (18), geographic coverage (all Brazilian states except a few where the company does not operate), minimum declared income, and product-specific criteria.  
- Rules are stored in the database (`eligibility_db`) and can be toggled on/off or adjusted by the operations team without a code deploy.  
- The service is built with Kotlin / Spring Boot / PostgreSQL and uses Kafka for event-driven communication.

**Sources:**  
Eligibility Service documentation (Overview section).",0.43471208434712083,correct,3690.6311249913415,2038,171,0.005786,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q004,Which external partner does CredityFlow integrate with for vehicle registry operations?,factual,easy,factual,CredityFlow integrates with DETRAN-API for vehicle registry operations. The detran-integration-service handles communication with this external partner to register liens on vehicles used as collateral for AutoCredit and AutoRefi products.,"**Direct answer:** DETRAN (as part of government agencies for lien registration).

**Supporting details:**  
The documentation states that CredityFlow integrates with government registries for operations. Specifically, the Registry business domain is described as ""Lien registration with government agencies (DETRAN/cartório)"". DETRAN is the Brazilian traffic department responsible for vehicle-related registrations and liens, aligning with vehicle-backed products (e.g., PROD-01 AutoCredit, PROD-03 AutoRefi). No other specific external partners are named for vehicle registry.

**Sources cited:**  
- Business Domains table in the CredityFlow Company Overview documentation.  
- Company Overview section on integrations with ""government registries"".",0.4073319755600815,partial,7577.553291004733,2559,137,0.006488,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q005,What API gateway does CredityFlow use to manage external-facing traffic?,factual,easy,factual,"CredityFlow uses Kong API Gateway to manage external-facing traffic. Kong handles routing, rate limiting, authentication, and request transformation at the edge. Internally, Istio service mesh manages service-to-service communication within the EKS cluster.","**The provided documentation does not mention any API gateway.**

The Customer Portal BFF documentation describes direct HTTPS traffic from the Customer Browser (React SPA) to the BFF itself, which then orchestrates calls to the four internal backend services (auth-service, proposal-service, customer-service, billing-service). No external API gateway, ingress controller, or similar component is referenced in the architecture, design principles, or any other section.

**Supporting details from the documentation:**
- Architecture diagram: `Customer Browser (React SPA) → HTTPS → Customer Portal BFF → [auth/proposal/customer/billing services]`
- The BFF is described as sitting directly between the SPA and backend microservices, with no intermediate gateway layer noted.
- All external-facing customer interactions (tracking proposals, document uploads, billing, payments) are handled via this BFF on port 3045.

**Sources:** Customer Portal BFF documentation (svc-45, team-portal) – Overview, Architecture, and Design Principles sections.",0.29429892141756553,incorrect,6469.891541986726,2454,199,0.006898,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q006,What caching layer does CredityFlow use and which services typically rely on it?,factual,easy,factual,"CredityFlow uses Redis as its caching layer. Services that rely on Redis include the eligibility-service (for caching product rules), credit-policy-service (for caching policy configurations), feature-flag-service (for caching flag states from LaunchDarkly), and the customer-portal-bff (for session and user preference caching).","**Direct answer:**  
CredityFlow uses **Redis** as its caching layer (with a 24-hour TTL). The provided documentation only describes its use in the Credit Bureau Integration service (svc-18).

**Supporting details:**  
- Redis is explicitly listed under the service's **Database** section as ""Redis (cache, TTL 24h)"".  
- The **Redis Cache** component caches bureau queries for the same CPF within a 24-hour window.  
- Purpose: cost reduction (ServicosBureau charges per query) and latency improvement (cache hits return in <5ms vs. 2-3 seconds for live calls).  
- The 24-hour TTL was negotiated with the credit risk team.  
- No other services are mentioned in the documentation as relying on this cache.

**Sources cited:**  
- Credit Bureau Integration (svc-18) documentation (all provided sections) — specifically the ""Database"" header and ""Redis Cache"" subsection under Architecture.",0.36408977556109723,incorrect,6577.961292001419,2396,196,0.006752,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q007,Where does CredityFlow store audit logs and why was that technology chosen?,factual,medium,factual,"CredityFlow stores audit logs in Elasticsearch. This technology was chosen because audit logs require full-text search capabilities, flexible querying across multiple fields, and efficient time-series storage. Elasticsearch enables compliance teams and the audit-service to quickly search and aggregate log entries across all domains for regulatory reporting and incident investigation.","**Direct answer:**  
CredityFlow stores audit logs in **Elasticsearch** (indices named `audit-YYYY-MM`, configured with 1 primary + 1 replica).

**Supporting details:**  
- The Audit Service is explicitly described as a ""high-volume, append-only store"" that receives events from all other services.  
- The ingestion pipeline ends with: `HashChainCalculator → Elasticsearch (index: audit-YYYY-MM, 1 primary + 1 replica)`.  
- Events are processed in batches of 100 using Elasticsearch's bulk API. The documentation states this is ""critical for throughput"" because ""individual writes would not scale to the event volume (~50k events/hour in production)"".  
- Elasticsearch was selected to support the service's design principles, particularly the need to remain **queryable** (filtered by time range, actor, resource type, action, and free-text search) while handling write-heavy workloads without becoming a bottleneck.

**Sources:**  
Audit Service (svc-48) documentation – Mission, Design Principles, and Event Ingestion Pipeline sections.",0.3991507430997877,incorrect,5359.767500005546,2185,216,0.00653,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q008,Which services are involved when a new lead submits an AutoCredit application?,relational,medium,relational,"When a new lead submits an AutoCredit application, the following services are involved in sequence: lead-intake-service captures the initial application data, eligibility-service checks basic qualification criteria, customer-service creates or retrieves the customer profile, and proposal-service creates the loan proposal. The lead-intake-service publishes a lead_created event that triggers downstream processing by other domains.","**Direct answer:** The provided documentation does not contain information about ""AutoCredit"" applications or the full set of services involved in submitting one.

**Supporting details:**  
The documentation only describes the **Lead Intake Service** as the entry point for all new leads (from website, mobile app, or partner integrations). It captures contact details, validates them, de-duplicates where possible, and publishes a `lead_created` event. This event is intended for downstream services, with the **Eligibility Service** explicitly called out as the primary consumer.

No other services, application types (such as AutoCredit), or end-to-end flows are detailed in the context.

**Sources:**  
- Lead Intake Service documentation (Overview and Architecture sections)",0.4817275747508306,correct,6646.29779200186,2524,145,0.006498,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q009,What is the relationship between the fraud-scoring-service and fraud-decision-service?,relational,easy,relational,"The fraud-scoring-service computes a numerical fraud risk score based on multiple signals including device fingerprinting, watchlist checks, and bureau data from ClearCheck. The fraud-decision-service consumes this score along with configurable policy rules to make a binary accept/reject/review decision. The separation follows the single-responsibility principle: scoring is a computation concern while decision-making applies business rules that can change independently.","**Direct answer:**  
The fraud-scoring-service produces a fraud risk score (0–1000) that is fed directly into the fraud-decision-service. The scoring service performs the ML-based risk assessment, while the decision service applies business rules and thresholds to generate the final outcome (approve, deny, or manual review).

**Supporting details from the documentation:**  
- ""The score itself is not a decision. It feeds into the fraud-decision-service, which applies business rules and thresholds to produce an actionable outcome (approve, deny, or route to manual review).""  
- ""The separation between scoring and decision-making is intentional: the ML model handles the 'how risky is this?' question, while business rules handle the 'what do we do about it?' question.""  
- The Fraud Scoring Service aggregates signals into a feature vector and runs a gradient boosting classifier (GBM) to output the scaled 0–1000 score.

**Sources:**  
Fraud Scoring Service – Overview section (repeated across the provided documentation).",0.434025452109846,correct,5219.983792005223,2221,205,0.006492,
unstructured__grok-build-0-1__r3__20260623T205112-438013,unstructured,Q010,Which services publish events that the notification-service subscribes to?,relational,hard,relational,"The notification-service subscribes to events from many services across the lending pipeline, including: proposal-service (proposal_created, proposal_approved), fraud-decision-service (fraud_cleared, fraud_rejected), credit-decision-service (credit_approved, credit_denied), contract-generation-service (contract_ready), digital-signature-service (contract_signed), disbursement-service (disbursement_completed), and dunning-service (payment_overdue). This allows the notification-service to send timely updates to customers at every major stage.","**Direct answer:**  
Domain services (in general) publish events to their own Kafka topics; the notification-service subscribes to relevant topics among them.

**Supporting details:**  
The documentation states that ""Domain services publish events to their own Kafka topics without awareness of notifications. The notification-service subscribes to relevant topics and independently decides which notifications to send based on event-to-template mapping configuration."" No specific service names are provided.

**Sources:**  
- Decision record on Kafka as sole inbound trigger mechanism (repeated in context).",0.44638186573670446,partial,4212.654124989058,832,103,0.002694,
