run_id,approach,generator,repeat,question_id,category,difficulty,knowledge_type,classification,lexical_sim,semantic_sim,latency_ms,tokens_in,tokens_out,estimated_cost,source_covered,error,judge_claude-sonnet-4-6_correctness,judge_claude-sonnet-4-6_completeness,judge_claude-sonnet-4-6_groundedness,judge_claude-sonnet-4-6_clarity,judge_claude-sonnet-4-6_average,judge_gpt-5.5_correctness,judge_gpt-5.5_completeness,judge_gpt-5.5_groundedness,judge_gpt-5.5_clarity,judge_gpt-5.5_average,judge_grok-build-0.1_correctness,judge_grok-build-0.1_completeness,judge_grok-build-0.1_groundedness,judge_grok-build-0.1_clarity,judge_grok-build-0.1_average,panel_average,crossfamily_average
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q001,factual,easy,factual,correct,0.410256,,3172.397,3,78,0.001179,1,,3,2,3,3,2.75,3,2,3,3,2.75,3,2,3,3,2.75,2.75,2.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q002,factual,easy,factual,correct,0.411122,,4299.075,3,166,0.002499,1,,2,2,3,3,2.5,2,2,3,3,2.5,3,2,3,3,2.75,2.5833,2.625
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q003,factual,easy,factual,incorrect,0.345178,,6655.347,3,314,0.004719,1,,3,3,3,3,3.0,3,2,3,3,2.75,3,3,3,3,3.0,2.9167,2.875
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q004,factual,easy,factual,incorrect,0.366002,,5263.892,860,246,0.00627,1,,3,3,2,3,2.75,2,3,1,3,2.25,3,3,1,3,2.5,2.5,2.375
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q005,factual,easy,factual,partial,0.436318,,3146.666,353,106,0.002649,1,,0,0,2,3,1.25,1,0,2,3,1.5,0,0,3,3,1.5,1.4167,1.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q006,factual,easy,factual,incorrect,0.304207,,7207.879,559,322,0.006507,1,,1,1,3,3,2.0,1,1,3,3,2.0,1,1,3,3,2.0,2.0,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q007,factual,medium,factual,partial,0.414911,,9977.708,163,197,0.003444,1,,1,1,3,3,2.0,1,1,3,3,2.0,1,1,3,3,2.0,2.0,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q008,relational,medium,relational,incorrect,0.322322,,8758.329,566,399,0.007683,1,,1,1,2,2,1.5,1,0,2,3,1.5,1,1,3,3,2.0,1.6667,1.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q009,relational,easy,relational,correct,0.361933,,7931.685,3,408,0.006129,1,,3,3,3,3,3.0,3,2,3,3,2.75,3,3,3,2,2.75,2.8333,2.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q010,relational,hard,relational,correct,0.361516,,6961.674,3,379,0.005694,1,,2,2,3,3,2.5,1,1,2,3,1.75,1,1,2,3,1.75,2.0,1.75
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q011,relational,medium,relational,incorrect,0.334639,,11570.36,3,513,0.007704,1,,2,3,3,3,2.75,2,2,2,3,2.25,2,2,3,3,2.5,2.5,2.375
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q012,relational,easy,relational,partial,0.395137,,9280.007,754,292,0.006642,1,,1,1,2,3,1.75,1,1,3,3,2.0,2,1,3,3,2.25,2.0,2.125
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q013,relational,easy,relational,correct,0.414056,,10270.43,3,507,0.007614,1,,2,2,3,3,2.5,2,2,3,3,2.5,2,2,3,3,2.5,2.5,2.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q014,relational,hard,architectural,partial,0.463094,,6864.567,396,264,0.005148,1,,1,1,3,3,2.0,1,0,1,3,1.25,2,1,1,3,1.75,1.6667,1.5
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q015,explanatory,hard,architectural,partial,0.462112,,5011.888,320,195,0.003885,1,,0,0,3,3,1.5,1,0,2,3,1.5,3,1,3,3,2.5,1.8333,2.0
structured__claude-sonnet-4-6__r1__20260620T233801-63532e,structured,claude-sonnet-4-6,1,Q016,explanatory,hard,architectural,incorrect,0.257915,,19349.075,3,907,0.013614,1,,3,3,3,3,3.0,3,3,2,3,2.75,3,3,3,3,3.0,2.9167,2.875
