run_id,approach,question_id,question,category,difficulty,required_knowledge_type,expected_answer,actual_answer,similarity_score,classification,latency_ms,tokens_input,tokens_output,estimated_cost,error
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q001,Which team owns the lead-intake-service?,factual,easy,factual,"The lead-intake-service is owned by team-onboarding. This team is responsible for the initial customer acquisition flow, including lead capture, eligibility checks, and proposal creation.","Direct answer: **team-onboarding** owns **lead-intake-service**.

Supporting details from the graph data:
- **lead-intake-service** has **Owner team: team-onboarding**
- Incoming relationship: **team-onboarding → OWNS → lead-intake-service**",0.4730679156908665,correct,2314.3430830095895,1746,60,0.00963,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q002,What database does the document-store-service use for storing document metadata?,factual,easy,factual,"The document-store-service uses MongoDB for storing document metadata. MongoDB was chosen because documents have variable schemas depending on document type (e.g., income proofs vs. vehicle registration), making a document-oriented database a natural fit. The actual file contents are stored in S3.","Direct answer: **document-store-service uses `document_meta_db` for document metadata**.

Supporting details from the graph data:
- `document-store-service → USES_DATABASE → document_meta_db`
- `document-store-service → USES_DATABASE → document_files`
- `document_meta_db` has incoming relationship: `document-store-service → USES_DATABASE`",0.4583987441130299,correct,4863.214541997877,1543,238,0.011285,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q003,What is the purpose of the eligibility-service in the onboarding flow?,factual,easy,factual,"The eligibility-service evaluates whether a prospective customer meets the minimum requirements for a loan product before a full proposal is created. It checks basic criteria such as age, geography, minimum income thresholds, and product availability. This early filtering avoids unnecessary downstream processing for clearly ineligible leads.","The `eligibility-service` runs lightweight eligibility rules against lead data to pre-qualify applicants before full credit analysis.

Supporting details from the graph data:
- Service: `eligibility-service`
- Domain relationship: `eligibility-service → BELONGS_TO_DOMAIN → Onboarding`
- Purpose: checks lead data such as age, geography, and minimum income.
- It helps reduce unnecessary downstream processing.
- Event relationships:
  - `eligibility-service → CONSUMES → lead_created`
  - `eligibility-service → PUBLISHES → lead_qualified`
- Dependencies:
  - `eligibility-service → DEPENDS_ON → lead-intake-service`
  - `eligibility-service → DEPENDS_ON → customer-service`",0.42616451932606536,correct,2905.6867089966545,1357,151,0.00905,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q004,Which external partner does CredityFlow integrate with for vehicle registry operations?,factual,easy,factual,CredityFlow integrates with DETRAN-API for vehicle registry operations. The detran-integration-service handles communication with this external partner to register liens on vehicles used as collateral for AutoCredit and AutoRefi products.,"CredityFlow integrates with **DETRAN-API** for vehicle registry operations.

Supporting details from the graph data:
- **detran-integration-service** has purpose: integrates with state **DETRAN** systems to register and release vehicle liens.
- Relationship cited: **detran-integration-service → INTEGRATES_WITH → DETRAN-API**.
- Domain: **Registry**; Subdomain: **Vehicle Lien Registration**.",0.526984126984127,correct,4299.458874986158,733,159,0.00605,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q005,What API gateway does CredityFlow use to manage external-facing traffic?,factual,easy,factual,"CredityFlow uses Kong API Gateway to manage external-facing traffic. Kong handles routing, rate limiting, authentication, and request transformation at the edge. Internally, Istio service mesh manages service-to-service communication within the EKS cluster.","The graph data does not contain enough information to identify what API gateway CredityFlow uses for external-facing traffic.

Supporting details from the graph data:
- Listed services include `customer-service`, `proposal-service`, `document-upload-service`, `document-store-service`, `biometrics-capture-service`, `fraud-bureau-integration`, and `credit-bureau-integration`.
- No service or relationship related to an API gateway or external-facing traffic management is present.",0.46404341926729986,partial,2368.2458750117803,309,122,0.003375,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q006,What caching layer does CredityFlow use and which services typically rely on it?,factual,easy,factual,"CredityFlow uses Redis as its caching layer. Services that rely on Redis include the eligibility-service (for caching product rules), credit-policy-service (for caching policy configurations), feature-flag-service (for caching flag states from LaunchDarkly), and the customer-portal-bff (for session and user preference caching).","CredityFlow uses **Redis** as a caching layer, specifically shown as **auth_session_cache** for `auth-service`.

Supporting details from the graph data:
- `auth-service` has `Database type: PostgreSQL+Redis`
- `auth-service` has relationship: `USES_DATABASE → auth_session_cache`
- Services listed as using `auth-service` are:
  - `backoffice-bff`
  - `biometrics-capture-service`
  - `customer-portal-bff`
  - `customer-service`
  - `document-store-service`
  - `document-upload-service`
  - `lead-intake-service`

Explicit relationships cited:
- `auth-service → USES_DATABASE → auth_session_cache`
- `customer-portal-bff → DEPENDS_ON → auth-service`
- `backoffice-bff → DEPENDS_ON → auth-service`

The graph does not explicitly state that those dependent services use Redis directly; it only shows they rely on `auth-service`, which uses the Redis-backed `auth_session_cache`.",0.3697478991596639,incorrect,6198.7911659962265,472,369,0.007895,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q007,Where does CredityFlow store audit logs and why was that technology chosen?,factual,medium,factual,"CredityFlow stores audit logs in Elasticsearch. This technology was chosen because audit logs require full-text search capabilities, flexible querying across multiple fields, and efficient time-series storage. Elasticsearch enables compliance teams and the audit-service to quickly search and aggregate log entries across all domains for regulatory reporting and incident investigation.","CredityFlow stores audit logs in `audit_log_store`.

The graph data does not contain information about why that technology was chosen.

Supporting details from the graph data:
- `audit-service → USES_DATABASE → audit_log_store`",0.4353518821603928,partial,2731.6366249870043,147,116,0.002475,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q008,Which services are involved when a new lead submits an AutoCredit application?,relational,medium,relational,"When a new lead submits an AutoCredit application, the following services are involved in sequence: lead-intake-service captures the initial application data, eligibility-service checks basic qualification criteria, customer-service creates or retrieves the customer profile, and proposal-service creates the loan proposal. The lead-intake-service publishes a lead_created event that triggers downstream processing by other domains.","The graph data is not sufficient to determine the full set of services involved when a new lead submits an AutoCredit application.

Supporting details from the graph data:
- `auth-service` `SUPPORTS_PRODUCT` → `AutoCredit`
- `auth-service` is `Used by` → `lead-intake-service`
- `auth-service` provides authentication/authorization via OAuth2/OIDC, RBAC, JWT tokens, sessions, and API keys.

Explicitly cited relationships:
- `auth-service` `SUPPORTS_PRODUCT` → `AutoCredit`
- `lead-intake-service` uses `auth-service` as listed under `Used by`

No service graph details for `lead-intake-service` itself or an AutoCredit application submission flow are provided, so the involved services beyond `auth-service` cannot be confirmed.",0.41587575496117346,partial,4260.461874990142,477,252,0.006165,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q009,What is the relationship between the fraud-scoring-service and fraud-decision-service?,relational,easy,relational,"The fraud-scoring-service computes a numerical fraud risk score based on multiple signals including device fingerprinting, watchlist checks, and bureau data from ClearCheck. The fraud-decision-service consumes this score along with configurable policy rules to make a binary accept/reject/review decision. The separation follows the single-responsibility principle: scoring is a computation concern while decision-making applies business rules that can change independently.","The `fraud-decision-service` depends on the `fraud-scoring-service`.

Supporting details from the graph data:
- `fraud-scoring-service` publishes `fraud_scored`.
- `fraud-decision-service` consumes `fraud_scored`.
- `fraud-decision-service` has outgoing relationship: `DEPENDS_ON → fraud-scoring-service`.
- `fraud-scoring-service` has incoming relationship: `fraud-decision-service → DEPENDS_ON`.
- `fraud-scoring-service` is listed as used by `fraud-decision-service`.

In flow terms: `fraud-scoring-service` computes the fraud score, and `fraud-decision-service` uses that score to make the final fraud decision.",0.4636614535418582,correct,4576.427207997767,1749,268,0.012765,
structured__gpt-5-5__r3__20260624T003148-46cae8,structured,Q010,Which services publish events that the notification-service subscribes to?,relational,hard,relational,"The notification-service subscribes to events from many services across the lending pipeline, including: proposal-service (proposal_created, proposal_approved), fraud-decision-service (fraud_cleared, fraud_rejected), credit-decision-service (credit_approved, credit_denied), contract-generation-service (contract_ready), digital-signature-service (contract_signed), disbursement-service (disbursement_completed), and dunning-service (payment_overdue). This allows the notification-service to send timely updates to customers at every major stage.","The services shown that publish events consumed by `notification-service` are:

1. `notification-template-service`
2. `negotiation-engine-service`

Supporting details from the graph data:

- `notification-service` → `CONSUMES` → `notification_requested`  
  `notification-template-service` → `PUBLISHES` → `notification_requested`

- `notification-service` consumes `negotiation_offered` and `negotiation_accepted`  
  `negotiation-engine-service` → `PUBLISHES` → `negotiation_offered`  
  `negotiation-engine-service` → `PUBLISHES` → `negotiation_accepted`

No other provided services in the graph publish events that match the events subscribed to by `notification-service`.",0.4265560165975104,correct,10984.691374993417,1739,576,0.017335,
