run_id,approach,question_id,question,category,difficulty,required_knowledge_type,expected_answer,actual_answer,similarity_score,classification,latency_ms,tokens_input,tokens_output,estimated_cost,error
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q001,Which team owns the lead-intake-service?,factual,easy,factual,"The lead-intake-service is owned by team-onboarding. This team is responsible for the initial customer acquisition flow, including lead capture, eligibility checks, and proposal creation.","**team-onboarding** owns the `lead-intake-service`.

**Supporting details from the graph:**
- The `lead-intake-service` has an incoming relationship: `team-onboarding → OWNS`
- This is also confirmed by the service's `Owner team` attribute, explicitly listed as **team-onboarding**.",0.41025641025641024,correct,3071.726167007,3,78,0.001179,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q002,What database does the document-store-service use for storing document metadata?,factual,easy,factual,"The document-store-service uses MongoDB for storing document metadata. MongoDB was chosen because documents have variable schemas depending on document type (e.g., income proofs vs. vehicle registration), making a document-oriented database a natural fit. The actual file contents are stored in S3.","Based on the service graph, **document-store-service** uses **`document_meta_db`** for storing document metadata.

**Supporting details:**
- The relationship is explicitly defined as: `document-store-service → USES_DATABASE → document_meta_db`
- This is a shared database, also used by **document-upload-service** and **ocr-worker**, as shown by the incoming relationships on `document_meta_db`:
  - `document-upload-service → USES_DATABASE`
  - `ocr-worker → USES_DATABASE`
  - `document-store-service → USES_DATABASE`

**Note:** The service profile lists the database type as **MongoDB+S3**, and also references a second database (`document_files`), which likely handles the actual file/binary storage, while `document_meta_db` handles the metadata layer.",0.39923591212989495,incorrect,4973.913707988686,3,199,0.002994,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q003,What is the purpose of the eligibility-service in the onboarding flow?,factual,easy,factual,"The eligibility-service evaluates whether a prospective customer meets the minimum requirements for a loan product before a full proposal is created. It checks basic criteria such as age, geography, minimum income thresholds, and product availability. This early filtering avoids unnecessary downstream processing for clearly ineligible leads.","## Purpose of `eligibility-service` in the Onboarding Flow

**Direct Answer:**
The `eligibility-service` runs lightweight eligibility rules against lead data to pre-qualify applicants **before** a full credit analysis is triggered, reducing unnecessary downstream processing.

---

### Supporting Details

**What it evaluates:**
It checks three core criteria against lead data:
- Age
- Geography
- Minimum income

**Where it fits in the flow:**
1. It **consumes** the `lead_created` event (published upstream by `lead-intake-service`)
2. It applies its eligibility rules
3. It **publishes** the `lead_qualified` event for downstream services to act on

**Dependencies:**
- `DEPENDS_ON → lead-intake-service` — source of lead data
- `DEPENDS_ON → feature-flag-service` — likely used to toggle eligibility rules dynamically

**Downstream consumers:**
- `customer-portal-bff` and `proposal-service` both depend on `eligibility-service`, meaning pre-qualification results gate further steps in the onboarding journey

**Data sensitivity:**
The service handles both **PII** and **financial data**, stored in `eligibility_db` (PostgreSQL).

**Owned by:** `team-onboarding`, within the **Onboarding** domain.",0.34267100977198695,incorrect,6423.731457995018,3,306,0.004599,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q004,Which external partner does CredityFlow integrate with for vehicle registry operations?,factual,easy,factual,CredityFlow integrates with DETRAN-API for vehicle registry operations. The detran-integration-service handles communication with this external partner to register liens on vehicles used as collateral for AutoCredit and AutoRefi products.,"## External Partner for Vehicle Registry Operations

CredityFlow integrates with **DETRAN-API** (Department of Transit) for vehicle registry operations.

### Supporting Details from the Graph

- The **detran-integration-service** has an explicit relationship: `INTEGRATES_WITH → DETRAN-API`
- This service's stated purpose is to integrate with **state DETRAN (Department of Transit) systems** to register and release vehicle liens, handling the asynchronous nature of DETRAN responses and state-specific protocols.
- It operates within the **Registry domain**, under the subdomain **Vehicle Lien Registration**, and is owned by **team-registry**.

### Key Operations Supported via DETRAN-API
The integration covers endpoints for:
- Registering a lien (`POST /api/v1/detran/register-lien`)
- Checking lien status (`GET /api/v1/detran/lien/{requestId}/status`)
- Releasing a lien (`POST /api/v1/detran/release-lien`)

No other external partner integrations are referenced in the retrieved graph data for vehicle registry operations.",0.33570863024544745,incorrect,5266.930957994191,860,259,0.006465,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q005,What API gateway does CredityFlow use to manage external-facing traffic?,factual,easy,factual,"CredityFlow uses Kong API Gateway to manage external-facing traffic. Kong handles routing, rate limiting, authentication, and request transformation at the edge. Internally, Istio service mesh manages service-to-service communication within the EKS cluster.","The retrieved service graph data does not contain any information about an API gateway or external-facing traffic management infrastructure used by CredityFlow.

I can only answer based on the structured knowledge provided, which covers services across the **Onboarding**, **Document Management**, **Biometrics**, **Fraud Prevention**, and **Credit Analysis** domains — none of which include API gateway details.

To get an accurate answer, I'd recommend consulting CredityFlow's infrastructure or platform architecture documentation directly.",0.4385964912280702,partial,3616.943542001536,353,107,0.002664,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q006,What caching layer does CredityFlow use and which services typically rely on it?,factual,easy,factual,"CredityFlow uses Redis as its caching layer. Services that rely on Redis include the eligibility-service (for caching product rules), credit-policy-service (for caching policy configurations), feature-flag-service (for caching flag states from LaunchDarkly), and the customer-portal-bff (for session and user preference caching).","## Caching Layer in CredityFlow

**Direct Answer:**
Based on the available graph data, the only caching layer explicitly identified is **`auth_session_cache`**, used by **`auth-service`**.

---

### Supporting Details

- **`auth-service`** has two database relationships:
  - `USES_DATABASE → auth_db` (PostgreSQL — persistent storage)
  - `USES_DATABASE → auth_session_cache` (part of the **PostgreSQL+Redis** stack, indicating Redis is used as the session/token cache)

This aligns with `auth-service`'s purpose of managing **user sessions, API keys, and JWT tokens** — all typical Redis use cases requiring fast, ephemeral storage.

---

### Services That Rely on It (Indirectly)

Since `auth-service` is a dependency for multiple services, they all indirectly benefit from the Redis caching layer:

| Service | Relationship |
|---|---|
| `customer-portal-bff` | `DEPENDS_ON` auth-service |
| `backoffice-bff` | `DEPENDS_ON` auth-service |
| `biometrics-capture-service` | Used by auth-service |
| `customer-service` | Used by auth-service |
| `document-store-service` | Used by auth-service |
| `document-upload-service` | Used by auth-service |
| `lead-intake-service` | Used by auth-service |

---

**Caveat:** The graph data provided only covers `auth-service`. Other services in the platform may use their own caching layers, but there is **no data in the retrieved graph** to confirm or describe them. A broader graph query would be needed for a complete picture.",0.2721164613661814,incorrect,8583.139791997382,559,407,0.007782,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q007,Where does CredityFlow store audit logs and why was that technology chosen?,factual,medium,factual,"CredityFlow stores audit logs in Elasticsearch. This technology was chosen because audit logs require full-text search capabilities, flexible querying across multiple fields, and efficient time-series storage. Elasticsearch enables compliance teams and the audit-service to quickly search and aggregate log entries across all domains for regulatory reporting and incident investigation.","## Audit Log Storage

**CredityFlow stores audit logs in a database called `audit_log_store`.**

### Supporting Details from the Graph

- The relationship in the service graph shows: **`audit-service` → `USES_DATABASE` → `audit_log_store`**
- This confirms that the `audit-service` is the component responsible for writing to this store, and `audit_log_store` is the designated database for audit log persistence.

### Regarding Technology Choice

The structured knowledge retrieved from the service graph **does not contain information about why this technology was chosen** (e.g., rationale, database type, or architectural decision records). I cannot provide that detail without risking inaccuracy.

To get the full rationale, I'd recommend consulting CredityFlow's Architecture Decision Records (ADRs) or the team responsible for the `audit-service`.",0.4149108589951378,partial,5843.856416991912,163,197,0.003444,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q008,Which services are involved when a new lead submits an AutoCredit application?,relational,medium,relational,"When a new lead submits an AutoCredit application, the following services are involved in sequence: lead-intake-service captures the initial application data, eligibility-service checks basic qualification criteria, customer-service creates or retrieves the customer profile, and proposal-service creates the loan proposal. The lead-intake-service publishes a lead_created event that triggers downstream processing by other domains.","## Services Involved in a New AutoCredit Lead Submission

Based on the structured knowledge retrieved, I can only partially answer this question.

### What the graph confirms:

**`auth-service`** is confirmed to support the **AutoCredit** product and is listed as being used by **`lead-intake-service`**, making it directly involved in the lead submission flow (handling authentication/authorization for the incoming request).

### Critical gap in the retrieved data:

The graph snippet provided **only contains detailed node data for `auth-service`**. While `lead-intake-service` is referenced as a consumer of `auth-service`, its own service definition — including its dependencies, downstream services it calls, and other services in the AutoCredit lead submission flow — **is not present in the retrieved graph data**.

### What I cannot confirm without additional graph data:
- The full dependency chain of `lead-intake-service`
- Whether services like `document-upload-service`, `customer-service`, or `biometrics-capture-service` (all listed as users of `auth-service`) are part of the lead submission flow specifically
- Any orchestration or event-driven services involved

---

**To get a complete answer, the service graph nodes for `lead-intake-service` and its downstream dependencies would need to be retrieved.** Would you like me to work with additional graph data if you can provide it?",0.3318729463307777,incorrect,7653.111291991081,566,307,0.006303,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q009,What is the relationship between the fraud-scoring-service and fraud-decision-service?,relational,easy,relational,"The fraud-scoring-service computes a numerical fraud risk score based on multiple signals including device fingerprinting, watchlist checks, and bureau data from ClearCheck. The fraud-decision-service consumes this score along with configurable policy rules to make a binary accept/reject/review decision. The separation follows the single-responsibility principle: scoring is a computation concern while decision-making applies business rules that can change independently.","## Relationship Between `fraud-scoring-service` and `fraud-decision-service`

### Direct Answer
The two services have a **unidirectional dependency**: `fraud-decision-service` depends on `fraud-scoring-service`, both through a direct service dependency and via event consumption.

---

### Supporting Details

**1. Service Dependency**
- `fraud-decision-service` → **DEPENDS_ON** → `fraud-scoring-service`
- This means `fraud-decision-service` directly calls `fraud-scoring-service` (REST API), with relevant endpoints such as `POST /api/v1/fraud/score` and `GET /api/v1/fraud/score/{proposalId}`.

**2. Event-Driven Relationship**
- `fraud-scoring-service` **PUBLISHES** → `fraud_scored`
- `fraud-decision-service` **CONSUMES** → `fraud_scored`
- The scoring service emits the `fraud_scored` event after computing its ML-based risk score, and the decision service consumes it to trigger its decision logic.

**3. Functional Flow**
- `fraud-scoring-service` aggregates signals (device fingerprinting, watchlist, bureau data) and produces a consolidated fraud risk score.
- `fraud-decision-service` then uses that score, combined with configurable business rules, to make the final **accept / reject / review** decision, publishing `fraud_cleared`, `fraud_decision_made`, or `fraud_flagged` accordingly.

**4. Shared Ownership**
- Both services are owned by **team-fraud** and belong to the **Fraud Prevention** domain.

---

### Summary Table

| Relationship Type | Direction |
|---|---|
| DEPENDS_ON (service call) | `fraud-decision-service` → `fraud-scoring-service` |
| Event: `fraud_scored` | Published by `fraud-scoring-service`, consumed by `fraud-decision-service` |",0.3210107627515208,incorrect,8413.875834012288,3,452,0.006789,
structured__claude-sonnet-4-6__r3__20260623T225737-71a7c0,structured,Q010,Which services publish events that the notification-service subscribes to?,relational,hard,relational,"The notification-service subscribes to events from many services across the lending pipeline, including: proposal-service (proposal_created, proposal_approved), fraud-decision-service (fraud_cleared, fraud_rejected), credit-decision-service (credit_approved, credit_denied), contract-generation-service (contract_ready), digital-signature-service (contract_signed), disbursement-service (disbursement_completed), and dunning-service (payment_overdue). This allows the notification-service to send timely updates to customers at every major stage.","## Services That Publish Events Consumed by notification-service

Based on the graph data, the **notification-service** consumes a broad list of events. However, from the retrieved graph data, I can only confirm the following **publisher → event** relationships with explicit evidence:

---

### Confirmed from the retrieved data:

| Event | Publishing Service |
|---|---|
| `notification_requested` | **notification-template-service** |
| `negotiation_accepted` | **negotiation-engine-service** |
| `negotiation_offered` | **negotiation-engine-service** |
| `overdue_installment` | **negotiation-engine-service** (consumes it, implying another upstream publisher — not confirmed here) |

---

### Important caveat:

The **notification-service** consumes a large set of events (e.g., `appraisal_completed`, `biometrics_requested`, `case_created`, `credit_approved`, `disbursement_done`, `dunning_started`, `fraud_flagged`, etc.), but the **graph data retrieved does not include the producer services** for most of these events. I cannot attribute publishers to those events without risking fabrication.

To get the full picture, you would need to query the graph for all services that **PUBLISHES** each of those events individually.",0.37154150197628455,correct,7350.254249991849,3,302,0.004539,
